风味,Zero,bai,cc,zouzou,huang
干香,普通咖啡浅烘的香气，没有特别的味道,没什么特殊的味道,无,味道比较低调，闻不到什么。。,没感受到
湿香,多了水果的酸感,没什么特殊的味道,无,闷蒸后，还是没闻到什么味道。。。,没感受到
干净度,没有明显不好的味道，有一点点杨桃青涩的味道,比较纯粹的味道,无,无,无
甜度,甜感明显且在口腔中存留时间较长，趋于焦糖和水果中间,刚喝没甜味，喝完嘴吧里面有,甘甜时间长,喝完比较久才感觉到一些回甘,没感受到甜味，很久才有一点
酸质,有酸感但不是很明亮，感觉没有柑橘酸感,是我喜欢的酸，说不上什么味道,柑橘酸,些微的酸味，不太明显,无
口腔触感,有一点粘稠感，不清,无,适中偏清,介于两者之间,如水
啜吸风味,前调能感受到稍微偏弱的水果酸，中调有明显甜感，后调苦味混合麦芽糖的甜感，整个过程没有明显花香,回甘挺久的,口腔味道更好,没闻到什么味道，也不是很好喝,咖啡凉了，各种滋味比较淡了
余韵,甜感余韵较长，酸感和苦迅速消逝,回甘挺久的,甘酸后调绵长,鼻腔没有，口腔挺久之后，都还有一点点回甘,
均衡度,整体上属于甜感突出的一支豆子，酸和苦较弱,甜味与苦味偏淡,前调明显苦 中调不明显 后调优秀,苦味为主，后有回甘，酸味不明显,偏酸，苦、甜都没有非常明显
整体评价,适合恨酸喜甜人群,无,干湿闻起来都中规中矩，口感不错，后调优秀，甘酸明显，无明显花香果香，味道还不够丰富,味道比较单一，苦涩味为主，伴少许酸味。多喝几口后，可能是比较适应了，感觉评分可以稍微加一点。,个人喜欢甜的
